Gene	ancestry	rank	GeneId	TranscriptId	BioType	AFI	Afrikaner	Ankole	Bonsmara	Egyptian_cattle_Lower	Egyptian_cattle_Middle	Egyptian_cattle_Upper	Karamojong	Nganda	Nguni	Nkedi	Ntuuku	Tuli	Retention breed count
ENSBTAG00000055228	aft	moderate	ENSBTAG00000055228	ENSBTAT00000069539	protein_coding	1	1	0	1	0	0	0	1	1	1	1	0	1	8
SSMEM1	aft	moderate	ENSBTAG00000013473	ENSBTAT00000017917	protein_coding	1	1	0	1	0	0	0	1	1	1	1	0	1	8
XDH	aft	moderate	ENSBTAG00000012519	ENSBTAT00000082430	protein_coding	0	1	1	0	0	1	0	1	1	0	1	1	1	8
SSMEM1	aft	low	ENSBTAG00000013473	ENSBTAT00000017917	protein_coding	1	1	0	1	0	0	0	1	1	1	1	0	1	8
TMEM209	aft	low	ENSBTAG00000015588	ENSBTAT00000020713	protein_coding	1	1	0	1	0	0	0	1	1	1	1	0	1	8
XDH	aft	low	ENSBTAG00000012519	ENSBTAT00000016620	protein_coding	0	1	1	0	0	1	0	1	1	0	1	1	1	8
ENSBTAG00000049211	aft	low	ENSBTAG00000049211	ENSBTAT00000073055		0	1	1	0	0	1	1	1	1	1	0	0	0	7
ENSBTAG00000055234	aft	low	ENSBTAG00000055234	ENSBTAT00000081972		0	1	1	0	0	1	1	1	1	1	0	0	0	7
KLHDC10	aft	low	ENSBTAG00000000548	ENSBTAT00000000718	protein_coding	1	0	0	1	0	0	0	1	1	1	1	0	1	7
CALHM5	aft	moderate	ENSBTAG00000045879	ENSBTAT00000072397	protein_coding	0	1	0	0	0	0	1	1	0	1	1	0	1	6
CALHM6	aft	moderate	ENSBTAG00000006549	ENSBTAT00000038044	protein_coding	0	1	0	0	0	0	1	1	0	1	1	0	1	6
DSE	aft	moderate	ENSBTAG00000005205	ENSBTAT00000006855	protein_coding	0	1	0	0	0	0	1	1	0	1	1	0	1	6
CALHM5	aft	low	ENSBTAG00000045879	ENSBTAT00000063525	protein_coding	0	1	0	0	0	0	1	1	0	1	1	0	1	6
DSE	aft	low	ENSBTAG00000005205	ENSBTAT00000006855	protein_coding	0	1	0	0	0	0	1	1	0	1	1	0	1	6
DUSP22	aft	low	ENSBTAG00000027375	ENSBTAT00000039272	protein_coding	1	0	0	1	0	0	0	1	0	1	1	0	1	6
AOX4	aft	high	ENSBTAG00000038878	ENSBTAT00000052588	protein_coding	1	0	1	0	0	0	0	1	0	0	1	1	0	5
AOX2	aft	moderate	ENSBTAG00000026812	ENSBTAT00000038328	protein_coding	1	0	1	0	0	0	0	1	0	0	1	1	0	5
AOX4	aft	moderate	ENSBTAG00000038878	ENSBTAT00000052588	protein_coding	1	0	1	0	0	0	0	1	0	0	1	1	0	5
C27H8orf48	aft	moderate	ENSBTAG00000047643	ENSBTAT00000064033	protein_coding	0	0	1	0	0	0	0	1	0	1	1	1	0	5
SCARB2	aft	moderate	ENSBTAG00000010956	ENSBTAT00000014549	protein_coding	1	1	0	0	0	0	0	1	0	0	1	0	1	5
TTC27	aft	moderate	ENSBTAG00000033010	ENSBTAT00000046862	protein_coding	0	0	1	0	0	0	0	0	1	1	0	1	1	5
AOX2	aft	low	ENSBTAG00000026812	ENSBTAT00000038328	protein_coding	1	0	1	0	0	0	0	1	0	0	1	1	0	5
AOX4	aft	low	ENSBTAG00000038878	ENSBTAT00000052588	protein_coding	1	0	1	0	0	0	0	1	0	0	1	1	0	5
C27H8orf48	aft	low	ENSBTAG00000047643	ENSBTAT00000064033	protein_coding	0	0	1	0	0	0	0	1	0	1	1	1	0	5
CARD14	aft	low	ENSBTAG00000015261	ENSBTAT00000020297	protein_coding	1	0	1	0	0	0	0	1	1	0	0	1	0	5
SCARB2	aft	low	ENSBTAG00000010956	ENSBTAT00000014549	protein_coding	1	1	0	0	0	0	0	1	0	0	1	0	1	5
TTC27	aft	low	ENSBTAG00000033010	ENSBTAT00000046862	protein_coding	0	0	1	0	0	0	0	0	1	1	0	1	1	5
CARD14	aft	high	ENSBTAG00000015261	ENSBTAT00000020297	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
ENSBTAG00000047849	aft	high	ENSBTAG00000047849	ENSBTAT00000065009	protein_coding	1	0	0	0	0	0	0	1	0	0	1	1	0	4
OR6A2	aft	high	ENSBTAG00000019144	ENSBTAT00000025482	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
ART3	aft	moderate	ENSBTAG00000010954	ENSBTAT00000072577	protein_coding	1	1	0	0	0	0	0	0	0	0	1	0	1	4
CARD14	aft	moderate	ENSBTAG00000015261	ENSBTAT00000020297	protein_coding	1	0	0	0	0	0	0	1	1	0	0	1	0	4
CCDC40	aft	moderate	ENSBTAG00000016017	ENSBTAT00000021324	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
CPA1	aft	moderate	ENSBTAG00000046169	ENSBTAT00000009745	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
CPA4	aft	moderate	ENSBTAG00000046648	ENSBTAT00000066192	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
CPA5	aft	moderate	ENSBTAG00000013476	ENSBTAT00000086694	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
DOLK	aft	moderate	ENSBTAG00000010601	ENSBTAT00000014016	protein_coding	0	0	0	0	0	0	0	1	1	0	1	1	0	4
ENSBTAG00000030186	aft	moderate	ENSBTAG00000030186	ENSBTAT00000042591	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
ENSBTAG00000047849	aft	moderate	ENSBTAG00000047849	ENSBTAT00000065009	protein_coding	1	0	0	0	0	0	0	1	0	0	1	1	0	4
ENSBTAG00000049727	aft	moderate	ENSBTAG00000049727	ENSBTAT00000037575	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
ENSBTAG00000050050	aft	moderate	ENSBTAG00000050050	ENSBTAT00000045473	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
ENSBTAG00000051921	aft	moderate	ENSBTAG00000051921	ENSBTAT00000056611	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
FAM189A2	aft	moderate	ENSBTAG00000011173	ENSBTAT00000014839	protein_coding	1	0	0	1	0	0	0	0	0	1	0	1	0	4
GAA	aft	moderate	ENSBTAG00000016021	ENSBTAT00000021325	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
OR6A2	aft	moderate	ENSBTAG00000019144	ENSBTAT00000025482	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
SGSH	aft	moderate	ENSBTAG00000015267	ENSBTAT00000020308	protein_coding	1	0	0	0	0	0	0	1	1	0	0	1	0	4
SPATS2L	aft	moderate	ENSBTAG00000016092	ENSBTAT00000033018	protein_coding	0	0	0	0	0	0	0	1	1	0	1	1	0	4
SST	aft	moderate	ENSBTAG00000017312	ENSBTAT00000023020	protein_coding	0	1	1	1	0	1	0	0	0	0	0	0	0	4
THSD7B	aft	moderate	ENSBTAG00000044055	ENSBTAT00000061537	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	4
CCDC40	aft	low	ENSBTAG00000016017	ENSBTAT00000021324	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
CEP41	aft	low	ENSBTAG00000007413	ENSBTAT00000009747	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
CPA1	aft	low	ENSBTAG00000046169	ENSBTAT00000009745	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
CPA4	aft	low	ENSBTAG00000046648	ENSBTAT00000066192	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
CPA5	aft	low	ENSBTAG00000013476	ENSBTAT00000017924	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	1	4
DOLK	aft	low	ENSBTAG00000010601	ENSBTAT00000014016	protein_coding	0	0	0	0	0	0	0	1	1	0	1	1	0	4
EIF4A3	aft	low	ENSBTAG00000016023	ENSBTAT00000021327	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
ENSBTAG00000049727	aft	low	ENSBTAG00000049727	ENSBTAT00000037575	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
ENSBTAG00000050050	aft	low	ENSBTAG00000050050	ENSBTAT00000045473	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
FAM189A2	aft	low	ENSBTAG00000011173	ENSBTAT00000014839	protein_coding	1	0	0	1	0	0	0	0	0	1	0	1	0	4
GAA	aft	low	ENSBTAG00000016021	ENSBTAT00000021325	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
KCTD18	aft	low	ENSBTAG00000002272	ENSBTAT00000002929	protein_coding	0	0	0	0	0	0	0	1	1	0	1	1	0	4
NUP54	aft	low	ENSBTAG00000010955	ENSBTAT00000014548	protein_coding	1	1	0	0	0	0	0	0	0	0	1	0	1	4
OR6A2	aft	low	ENSBTAG00000019144	ENSBTAT00000025482	protein_coding	0	0	1	0	0	0	0	1	0	0	1	1	0	4
SGSH	aft	low	ENSBTAG00000015267	ENSBTAT00000020308	protein_coding	1	0	0	0	0	0	0	1	1	0	0	1	0	4
SLC26A11	aft	low	ENSBTAG00000015276	ENSBTAT00000020324	protein_coding	1	0	0	0	0	0	0	1	1	0	0	1	0	4
SPATS2L	aft	low	ENSBTAG00000016092	ENSBTAT00000033018	protein_coding	0	0	0	0	0	0	0	1	1	0	1	1	0	4
SST	aft	low	ENSBTAG00000017312	ENSBTAT00000023020	protein_coding	0	1	1	1	0	1	0	0	0	0	0	0	0	4
THSD7B	aft	low	ENSBTAG00000044055	ENSBTAT00000061537	protein_coding	0	1	1	0	0	0	0	0	1	0	0	1	0	4
TMC1	aft	low	ENSBTAG00000018778	ENSBTAT00000025003	protein_coding	1	0	1	0	0	0	0	0	1	0	0	1	0	4
TTC17	aft	low	ENSBTAG00000031299	ENSBTAT00000019253	protein_coding	0	0	1	0	1	0	0	0	1	0	0	1	0	4
ENSBTAG00000023918	aft	high	ENSBTAG00000023918	ENSBTAT00000055181	protein_coding	1	0	1	0	0	0	1	0	0	0	0	0	0	3
AUTS2	aft	high	ENSBTAG00000002083	ENSBTAT00000002697	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
ENSBTAG00000017233	aft	high	ENSBTAG00000017233	ENSBTAT00000087137	protein_coding	0	0	0	0	0	0	0	1	1	0	0	1	0	3
ENSBTAG00000036031	aft	high	ENSBTAG00000036031	ENSBTAT00000050523	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000047845	aft	high	ENSBTAG00000047845	ENSBTAT00000065988	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
OR51D1	aft	high	ENSBTAG00000000232	ENSBTAT00000000283	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
THSD7B	aft	high	ENSBTAG00000044055	ENSBTAT00000081839	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ACOXL	aft	moderate	ENSBTAG00000004297	ENSBTAT00000033248	protein_coding	0	0	0	0	1	0	1	0	0	0	1	0	0	3
ENSBTAG00000017173	aft	moderate	ENSBTAG00000017173	ENSBTAT00000057245	protein_coding	1	0	1	0	0	0	1	0	0	0	0	0	0	3
ENSBTAG00000023918	aft	moderate	ENSBTAG00000023918	ENSBTAT00000055181	protein_coding	1	0	1	0	0	0	1	0	0	0	0	0	0	3
ACSM5	aft	moderate	ENSBTAG00000037449	ENSBTAT00000054846	protein_coding	0	1	0	0	0	0	0	1	0	1	0	0	0	3
APBB1	aft	moderate	ENSBTAG00000015655	ENSBTAT00000020791	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
AUTS2	aft	moderate	ENSBTAG00000002083	ENSBTAT00000002697	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
BCL6	aft	moderate	ENSBTAG00000001511	ENSBTAT00000001978	protein_coding	0	1	0	1	0	1	0	0	0	0	0	0	0	3
CDH7	aft	moderate	ENSBTAG00000014488	ENSBTAT00000031089	protein_coding	1	0	0	0	1	0	0	0	1	0	0	0	0	3
CENPF	aft	moderate	ENSBTAG00000024449	ENSBTAT00000033913	protein_coding	0	1	0	0	0	0	0	0	0	1	1	0	0	3
CLU	aft	moderate	ENSBTAG00000005574	ENSBTAT00000007324	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	1	3
EDEM1	aft	moderate	ENSBTAG00000012904	ENSBTAT00000017152	protein_coding	0	0	0	0	0	0	0	0	0	1	1	1	0	3
ENDOV	aft	moderate	ENSBTAG00000015339	ENSBTAT00000020390	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000009440	aft	moderate	ENSBTAG00000009440	ENSBTAT00000027669	protein_coding	0	0	0	0	0	0	0	0	1	0	1	1	0	3
ENSBTAG00000017233	aft	moderate	ENSBTAG00000017233	ENSBTAT00000022896	protein_coding	0	0	0	0	0	0	0	1	1	0	0	1	0	3
ENSBTAG00000022489	aft	moderate	ENSBTAG00000022489	ENSBTAT00000030444	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000023007	aft	moderate	ENSBTAG00000023007	ENSBTAT00000031254	protein_coding	0	1	0	1	0	0	0	0	0	1	0	0	0	3
ENSBTAG00000034560	aft	moderate	ENSBTAG00000034560	ENSBTAT00000048956	protein_coding	1	0	0	0	0	0	0	0	0	0	1	0	1	3
ENSBTAG00000036031	aft	moderate	ENSBTAG00000036031	ENSBTAT00000050523	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000037603	aft	moderate	ENSBTAG00000037603	ENSBTAT00000052569	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000047845	aft	moderate	ENSBTAG00000047845	ENSBTAT00000065988	protein_coding	0	0	0	0	0	0	0	1	0	0	1	1	0	3
ENSBTAG00000048052	aft	moderate	ENSBTAG00000048052	ENSBTAT00000065651	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000049124	aft	moderate	ENSBTAG00000049124	ENSBTAT00000065973	protein_coding	0	0	1	0	0	0	0	0	0	0	1	1	0	3
ENSBTAG00000050367	aft	moderate	ENSBTAG00000050367	ENSBTAT00000026212	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000051654	aft	moderate	ENSBTAG00000051654	ENSBTAT00000085999	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000051676	aft	moderate	ENSBTAG00000051676	ENSBTAT00000065182	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
ENSBTAG00000051808	aft	moderate	ENSBTAG00000051808	ENSBTAT00000055288	protein_coding	0	0	1	0	0	0	0	0	1	0	0	1	0	3
