Gene	Ancestry	Variant rank	GeneId	TranscriptId	BioType	AFI	Afrikaner	Ankole	Bonsmara	Egyptian_cattle_Lower	Egyptian_cattle_Middle	Egyptian_cattle_Upper	Karamojong	Nganda	Nguni	Nkedi	Ntuuku	Tuli	Retention breed count
DDIT3	aai	moderate	ENSBTAG00000031544	ENSBTAT00000044712	protein_coding	0	1	1	1	0	0	1	0	1	1	0	1	1	8
DCTN2	aai	moderate	ENSBTAG00000010624	ENSBTAT00000067198	protein_coding	0	1	1	1	0	0	1	0	1	1	0	1	1	8
ENSBTAG00000032859	aai	high	ENSBTAG00000032859	ENSBTAT00000055476	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
ENSBTAG00000034332	aai	high	ENSBTAG00000034332	ENSBTAT00000048631	protein_coding	0	0	0	0	0	1	1	0	0	0	0	0	0	2
GHRHR	aai	high	ENSBTAG00000047599	ENSBTAT00000026967	protein_coding	0	0	0	0	0	0	1	0	0	0	0	0	0	1
GPCPD1	aai	moderate	ENSBTAG00000008293	ENSBTAT00000010913	protein_coding	1	1	1	0	0	0	0	1	0	1	1	1	1	8
AGER	aai	high	ENSBTAG00000014420	ENSBTAT00000019179	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ANXA4	aai	high	ENSBTAG00000001105	ENSBTAT00000066592	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	1
BCAT1	aai	high	ENSBTAG00000013825	ENSBTAT00000087140	protein_coding	0	0	0	0	0	0	0	1	0	0	0	0	0	1
CCDC43	aai	high	ENSBTAG00000005693	ENSBTAT00000007478	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CFAP54	aai	high	ENSBTAG00000015792	ENSBTAT00000043356	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1
CIDEA	aai	high	ENSBTAG00000046547	ENSBTAT00000063184	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	1
IRAK3	aai	high	ENSBTAG00000007636	ENSBTAT00000086758	protein_coding	0	1	0	1	0	1	1	0	0	0	1	0	1	6
DNM2	aai	high	ENSBTAG00000013362	ENSBTAT00000036123	protein_coding	0	0	0	0	0	0	0	0	1	0	0	0	0	1
