chr,start,end,EUT,AAI,AFT
1,100001,150000,90.0000,10.0000,0
1,150001,200000,52.5000,47.5000,0
1,200001,250000,15.1900,44.9000,39.9000
1,250001,300000,13.3100,48.5300,38.1500
1,300001,350000,23.1200,28.4300,48.4300
1,350001,400000,25.4100,23.5600,51.0100
1,400001,450000,51.2000,30.1300,18.6600
1,450001,500000,59.0200,17.5300,23.4300
1,500001,550000,71.1800,15.6200,13.1900
1,550001,600000,61.7200,16.2300,22.0400
1,600001,650000,58.7600,20.8100,20.4100
1,650001,700000,57.5800,25.7700,16.6400
1,700001,750000,63.8800,36.1100,0
1,750001,800000,50.0000,50.0000,0
1,800001,850000,28.5900,56.4000,15.0000
1,850001,900000,34.0100,60.0000,5.9800
1,900001,950000,29.1700,67.6100,3.2000
1,950001,1000000,19.5800,44.2700,36.1300
1,1000001,1050000,16.2200,48.2800,35.4800
1,1050001,1100000,46.5500,46.0700,7.3700
1,1100001,1150000,52.5900,46.0900,1.3100
1,1150001,1200000,47.3100,42.6800,10.0000
1,1200001,1250000,37.4300,48.6500,13.9000
1,1250001,1300000,20.3200,45.1900,34.4700
1,1300001,1350000,32.2700,52.7200,15.0000
1,1350001,1400000,28.3100,45.0000,26.6800
1,1400001,1450000,40.0000,45.0000,15.0000
1,1450001,1500000,18.3600,46.7600,34.8600
1,1500001,1550000,15.0000,50.0000,35.0000
1,1550001,1600000,9.4000,52.8200,37.7700
1,1600001,1650000,13.8700,52.6600,33.4600
1,1650001,1700000,28.2900,54.4500,17.2500
1,1700001,1750000,17.8200,56.5700,25.6000
1,1750001,1800000,10.0000,65.0000,25.0000
1,1800001,1850000,36.7000,40.8700,22.4200
1,1850001,1900000,5.0000,75.0000,20.0000
1,1900001,1950000,7.7700,53.8000,38.4200
1,1950001,2000000,35.0000,50.0000,15.0000
1,2000001,2050000,35.0000,50.0000,15.0000
1,2050001,2100000,21.7200,57.8300,20.4300
1,2100001,2150000,23.8700,51.7700,24.3500
1,2150001,2200000,21.7200,58.2700,20.0000
1,2200001,2250000,20.0100,57.5900,22.3800
1,2250001,2300000,23.4100,48.7000,27.8700
1,2300001,2350000,22.7800,47.6300,29.5800
1,2350001,2400000,33.6800,50.0000,16.3100
1,2400001,2450000,26.5600,51.3900,22.0400
1,2450001,2500000,9.2700,62.7200,27.9900
1,2500001,2550000,8.5800,66.5700,24.8300
1,2550001,2600000,15.2500,79.0800,5.6600
1,2600001,2650000,7.2200,49.9700,42.7900
1,2650001,2700000,5.0000,60.0000,35.0000
1,2700001,2750000,10.5400,51.8700,37.5800
1,2750001,2800000,30.0000,30.0000,40.0000
1,2800001,2850000,30.0000,30.0000,40.0000
1,2850001,2900000,35.0000,30.0000,35.0000
1,2900001,2950000,39.4000,33.4800,27.1000
1,2950001,3000000,20.8500,37.8300,41.3100
1,3000001,3050000,34.4100,32.6600,32.9100
1,3050001,3100000,38.9400,25.7200,35.3200
1,3100001,3150000,5.0000,75.0000,20.0000
1,3150001,3200000,8.5000,47.0800,44.4100
1,3200001,3250000,57.3300,31.8000,10.8600
1,3250001,3300000,48.2800,26.7100,25.0000
1,3300001,3350000,55.1800,29.9400,14.8700
1,3350001,3400000,22.1300,57.6600,20.2000
1,3400001,3450000,22.3300,51.4500,26.2100
1,3450001,3500000,36.1800,30.0800,33.7200
1,3500001,3550000,40.0000,36.2100,23.7800
1,3550001,3600000,29.2500,34.8000,35.9400
1,3600001,3650000,46.1100,38.8800,15.0000
1,3650001,3700000,54.2600,36.2300,9.5000
1,3700001,3750000,59.1100,37.9800,2.9000
1,3750001,3800000,65.0000,35.0000,0
1,3800001,3850000,49.5500,35.0000,15.4400
1,3850001,3900000,49.9800,43.9400,6.0700
1,3900001,3950000,44.3000,40.6900,15.0000
1,3950001,4000000,61.2600,33.7300,5.0000
1,4000001,4050000,60.1000,34.8900,5.0000
1,4050001,4100000,52.9500,42.0400,5.0000
1,4100001,4150000,52.8900,42.1000,5.0000
1,4150001,4200000,26.4000,47.7900,25.8000
