chr,start,end,EUT,AAI,AFT
1,100001,150000,54.0000,44.0000,2.0000
1,150001,200000,24.0000,76.0000,0
1,200001,250000,16.0300,74.2000,9.7500
1,250001,300000,15.9000,68.0100,16.0800
1,300001,350000,18.4600,68.7100,12.8200
1,350001,400000,16.1300,62.0200,21.8400
1,400001,450000,26.0700,64.2200,9.6900
1,450001,500000,32.7300,58.5800,8.6800
1,500001,550000,27.8500,65.9400,6.1900
1,550001,600000,20.9500,62.8500,16.1900
1,600001,650000,22.4000,58.0200,19.5600
1,650001,700000,22.2600,63.9200,13.8000
1,700001,750000,20.9800,78.4700,.5400
1,750001,800000,8.4300,87.3300,4.2200
1,800001,850000,11.3900,83.3400,5.2600
1,850001,900000,13.8200,78.1700,8.0000
1,900001,950000,14.1200,81.4300,4.4400
1,950001,1000000,5.3400,87.3300,7.3100
1,1000001,1050000,5.6800,89.2600,5.0400
1,1050001,1100000,12.6000,78.4000,8.9800
1,1100001,1150000,27.5900,69.9300,2.4600
1,1150001,1200000,29.2200,64.4700,6.3000
1,1200001,1250000,18.2000,70.5600,11.2200
1,1250001,1300000,30.1600,59.3800,10.4400
1,1300001,1350000,14.4400,70.8000,14.7500
1,1350001,1400000,9.3500,50.2200,40.4100
1,1400001,1450000,15.4600,62.5300,22.0000
1,1450001,1500000,16.0200,59.6600,24.3100
1,1500001,1550000,19.7200,63.3100,16.9600
1,1550001,1600000,16.3600,62.3900,21.2300
1,1600001,1650000,16.8700,57.0300,26.0800
1,1650001,1700000,10.4400,59.0900,30.4500
1,1700001,1750000,11.9000,57.2500,30.8400
1,1750001,1800000,11.8500,63.7400,24.3900
1,1800001,1850000,20.1500,51.2000,28.6400
1,1850001,1900000,23.6300,54.7200,21.6400
1,1900001,1950000,9.4900,53.6900,36.8000
1,1950001,2000000,19.7000,50.8300,29.4500
1,2000001,2050000,16.8600,53.4700,29.6500
1,2050001,2100000,6.8600,59.5800,33.5500
1,2100001,2150000,21.8600,47.9200,30.2100
1,2150001,2200000,16.8900,57.0800,26.0100
1,2200001,2250000,25.3400,54.6100,20.0400
1,2250001,2300000,33.2600,56.8400,9.8800
1,2300001,2350000,30.1600,54.1000,15.7200
1,2350001,2400000,27.4800,60.8500,11.6500
1,2400001,2450000,21.9300,66.5100,11.5400
1,2450001,2500000,18.3700,68.3800,13.2400
1,2500001,2550000,29.7100,60.6600,9.6200
1,2550001,2600000,25.9500,69.8000,4.2400
1,2600001,2650000,14.5100,63.9900,21.4900
1,2650001,2700000,17.6000,77.1800,5.2100
1,2700001,2750000,7.5800,78.1800,14.2200
1,2750001,2800000,21.6900,52.9700,25.3300
1,2800001,2850000,21.2800,54.3600,24.3400
1,2850001,2900000,19.1200,59.5700,21.2900
1,2900001,2950000,26.0100,57.1600,16.8100
1,2950001,3000000,10.7400,65.5700,23.6800
1,3000001,3050000,24.4000,59.0400,16.5400
1,3050001,3100000,37.4400,47.2200,15.3200
1,3100001,3150000,13.1700,84.5900,2.2300
1,3150001,3200000,8.0000,67.9700,24.0200
1,3200001,3250000,35.4000,57.9600,6.6200
1,3250001,3300000,28.0800,63.0700,8.8400
1,3300001,3350000,29.9700,65.2800,4.7300
1,3350001,3400000,26.6600,70.9900,2.3400
1,3400001,3450000,14.4900,80.3000,5.1900
1,3450001,3500000,37.9200,57.4200,4.6500
1,3500001,3550000,51.9500,45.8000,2.2300
1,3550001,3600000,26.6700,64.2600,9.0500
1,3600001,3650000,24.1000,74.3100,1.5700
1,3650001,3700000,12.3600,87.3800,.2500
1,3700001,3750000,9.5600,89.6000,.8300
1,3750001,3800000,10.7600,87.2300,2.0000
1,3800001,3850000,9.4300,88.8200,1.7400
1,3850001,3900000,6.4000,93.6000,0
1,3900001,3950000,5.0300,92.9600,2.0000
1,3950001,4000000,18.0200,78.6500,3.3100
1,4000001,4050000,19.4600,76.1600,4.3700
1,4050001,4100000,20.2600,76.2200,3.5000
1,4100001,4150000,24.1900,74.3600,1.4400
1,4150001,4200000,12.4500,79.7300,7.8000
1,4200001,4250000,17.2000,76.3200,6.4600
1,4250001,4300000,17.3600,75.3900,7.2400
1,4300001,4350000,20.9800,74.8900,4.1200
1,4350001,4400000,41.7100,58.2800,0
1,4400001,4450000,42.9700,57.0200,0
1,4450001,4500000,35.9000,61.9600,2.1300
1,4500001,4550000,23.4800,69.2100,7.3000
1,4550001,4600000,22.9700,70.3900,6.6300
1,4600001,4650000,26.0200,66.4100,7.5500
1,4650001,4700000,18.5100,79.3200,2.1600
1,4700001,4750000,14.7500,76.0900,9.1500
1,4750001,4800000,11.4200,79.4600,9.1100
1,4800001,4850000,15.5800,73.7500,10.6600
1,4850001,4900000,14.6700,72.5100,12.8000
1,4900001,4950000,24.8500,72.4500,2.6800
1,4950001,5000000,24.6300,73.3600,2.0000
1,5000001,5050000,27.9000,68.8900,3.2000
1,5050001,5100000,22.4600,75.0000,2.5200
1,5100001,5150000,21.0800,78.6000,.3000
1,5150001,5200000,28.8500,70.9000,.2400
1,5200001,5250000,31.0800,68.9100,0
1,5250001,5300000,27.5800,69.8900,2.5100
1,5300001,5350000,28.5900,69.4000,2.0000
1,5350001,5400000,19.6800,73.5000,6.8100
1,5400001,5450000,23.3000,72.7000,4.0000
1,5450001,5500000,25.3600,66.6300,8.0000
1,5500001,5550000,25.9000,67.7100,6.3700
1,5550001,5600000,29.2300,67.5400,3.2200
1,5600001,5650000,16.2200,80.7600,3.0000
1,5650001,5700000,11.8800,78.9100,9.1900
1,5700001,5750000,15.7600,77.4700,6.7600
1,5750001,5800000,7.6000,80.2900,12.0900
1,5800001,5850000,16.1100,78.6900,5.1800
1,5850001,5900000,20.8400,71.3700,7.7800
1,5900001,5950000,23.2600,70.4800,6.2400
1,5950001,6000000,23.9400,69.2400,6.8100
1,6000001,6050000,15.1600,73.0800,11.7500
1,6050001,6100000,11.6200,80.9100,7.4600
1,6100001,6150000,14.8700,76.1200,8.9900
1,6150001,6200000,14.5900,82.2800,3.1100
1,6200001,6250000,26.8500,68.3000,4.8300
1,6250001,6300000,20.1200,74.6500,5.2200
1,6300001,6350000,19.9700,75.1500,4.8600
1,6350001,6400000,11.1900,70.2600,18.5400
1,6400001,6450000,6.8600,70.1300,23.0000
1,6450001,6500000,9.7200,69.0600,21.2000
