chr,start,end,EUT,AAI,AFT
1,100001,150000,100.0000,0,0
1,150001,200000,98.0000,2.0000,0
1,200001,250000,90.9700,1.2800,7.7400
1,250001,300000,97.0500,.4800,2.4500
1,300001,350000,94.4800,.9200,4.5800
1,350001,400000,80.8100,.6800,18.5000
1,400001,450000,80.6700,9.3600,9.9500
1,450001,500000,92.3200,2.7600,4.9100
1,500001,550000,85.4300,2.9900,11.5700
1,550001,600000,82.9300,4.2300,12.8300
1,600001,650000,70.7000,6.0200,23.2600
1,650001,700000,78.6100,4.4900,16.8800
1,700001,750000,98.9700,0,1.0200
1,750001,800000,90.0000,10.0000,0
1,800001,850000,89.4700,.5200,10.0000
1,850001,900000,92.0000,0,8.0000
1,900001,950000,72.7100,26.0000,1.2800
1,950001,1000000,99.5300,.4600,0
1,1000001,1050000,100.0000,0,0
1,1050001,1100000,99.3900,.6000,0
1,1100001,1150000,100.0000,0,0
1,1150001,1200000,100.0000,0,0
1,1200001,1250000,94.8500,3.9800,1.1600
1,1250001,1300000,88.3800,0,11.6100
1,1300001,1350000,45.1600,54.8300,0
1,1350001,1400000,75.5900,0,24.4000
1,1400001,1450000,82.0000,18.0000,0
1,1450001,1500000,96.0000,2.0000,2.0000
1,1500001,1550000,75.1000,.8900,24.0000
1,1550001,1600000,76.0000,0,24.0000
1,1600001,1650000,85.6300,0,14.3600
1,1650001,1700000,98.0000,0,2.0000
1,1700001,1750000,99.7700,.2200,0
1,1750001,1800000,98.0000,0,2.0000
1,1800001,1850000,98.0000,0,2.0000
1,1850001,1900000,94.0000,0,6.0000
1,1900001,1950000,94.0000,0,6.0000
1,1950001,2000000,99.6200,0,.3700
1,2000001,2050000,96.5400,0,3.4500
1,2050001,2100000,100.0000,0,0
1,2100001,2150000,74.1800,19.1900,6.6200
1,2150001,2200000,55.7400,44.2500,0
1,2200001,2250000,45.5100,45.3100,9.1700
1,2250001,2300000,5.1400,44.5000,50.3500
1,2300001,2350000,52.0700,47.9200,0
1,2350001,2400000,48.0000,52.0000,0
1,2400001,2450000,57.1400,42.4400,.4000
1,2450001,2500000,58.0000,10.8800,31.1100
1,2500001,2550000,52.0000,22.1700,25.8200
1,2550001,2600000,50.0000,49.4900,.5000
1,2600001,2650000,50.0000,43.9300,6.0600
1,2650001,2700000,50.0000,50.0000,0
1,2700001,2750000,59.3000,40.6900,0
1,2750001,2800000,100.0000,0,0
1,2800001,2850000,100.0000,0,0
1,2850001,2900000,100.0000,0,0
1,2900001,2950000,98.0000,2.0000,0
1,2950001,3000000,97.8800,0,2.1100
1,3000001,3050000,96.0000,0,4.0000
1,3050001,3100000,96.0000,4.0000,0
1,3100001,3150000,96.0000,2.0000,2.0000
1,3150001,3200000,94.2500,5.7500,0
1,3200001,3250000,91.5600,4.0000,4.4300
1,3250001,3300000,84.8200,6.0000,9.1700
1,3300001,3350000,62.5600,37.4400,0
1,3350001,3400000,63.3400,36.6500,0
1,3400001,3450000,77.6300,22.3600,0
1,3450001,3500000,90.0200,9.9700,0
1,3500001,3550000,90.0000,10.0000,0
1,3550001,3600000,82.3300,0,17.6600
1,3600001,3650000,100.0000,0,0
1,3650001,3700000,94.0000,0,6.0000
1,3700001,3750000,96.1500,2.6000,1.2400
1,3750001,3800000,100.0000,0,0
1,3800001,3850000,95.5600,3.3000,1.1200
1,3850001,3900000,100.0000,0,0
1,3900001,3950000,88.9300,5.3400,5.7200
1,3950001,4000000,88.4200,0,11.5700
1,4000001,4050000,98.2100,0,1.7800
1,4050001,4100000,98.6500,.3500,.9900
1,4100001,4150000,96.0000,0,4.0000
1,4150001,4200000,94.8500,0,5.1400
1,4200001,4250000,92.5100,1.8600,5.6100
1,4250001,4300000,82.7800,15.1300,2.0800
1,4300001,4350000,80.8200,1.2900,17.8800
1,4350001,4400000,80.3100,0,19.6800
1,4400001,4450000,84.0000,0,16.0000
1,4450001,4500000,96.7800,0,3.2100
1,4500001,4550000,89.7200,6.0000,4.2700
1,4550001,4600000,100.0000,0,0
1,4600001,4650000,78.6400,14.0700,7.2800
1,4650001,4700000,94.9000,3.0900,2.0000
1,4700001,4750000,81.6300,9.2700,9.0800
1,4750001,4800000,99.0500,.9400,0
1,4800001,4850000,86.0000,14.0000,0
1,4850001,4900000,74.5000,.8600,24.6200
1,4900001,4950000,96.0000,4.0000,0
1,4950001,5000000,84.7800,15.2100,0
1,5000001,5050000,96.1600,.4900,3.3300
1,5050001,5100000,90.8400,9.1500,0
1,5100001,5150000,79.2700,18.0000,2.7200
1,5150001,5200000,96.0000,4.0000,0
1,5200001,5250000,93.4000,1.6400,4.9500
1,5250001,5300000,94.0500,1.9400,4.0000
1,5300001,5350000,98.0000,0,2.0000
1,5350001,5400000,91.2300,0,8.7600
1,5400001,5450000,100.0000,0,0
1,5450001,5500000,98.3600,1.6300,0
1,5500001,5550000,88.7900,11.2000,0
1,5550001,5600000,96.1400,3.1600,.6800
1,5600001,5650000,79.3400,10.1500,10.4900
1,5650001,5700000,61.9000,5.6300,32.4500
1,5700001,5750000,81.0400,6.0000,12.9500
1,5750001,5800000,82.9200,2.8200,14.2400
1,5800001,5850000,88.2500,4.1000,7.6400
1,5850001,5900000,84.7600,5.3600,9.8600
1,5900001,5950000,84.5600,15.0800,.3400
1,5950001,6000000,89.5500,3.9800,6.4600
1,6000001,6050000,93.1800,6.8100,0
1,6050001,6100000,95.6400,1.3500,3.0000
1,6100001,6150000,90.7100,0,9.2800
1,6150001,6200000,90.8900,1.7900,7.3000
1,6200001,6250000,96.0000,0,4.0000
1,6250001,6300000,96.5000,0,3.4900
1,6300001,6350000,94.7800,1.2100,4.0000
1,6350001,6400000,94.0000,2.0000,4.0000
1,6400001,6450000,87.9700,8.0200,4.0000
1,6450001,6500000,96.0000,0,4.0000
1,6500001,6550000,97.3600,2.4100,.2200
1,6550001,6600000,91.9900,0,8.0000
1,6600001,6650000,62.9200,2.5200,34.5400
1,6650001,6700000,92.0400,0,7.9500
1,6700001,6750000,95.0300,2.5800,2.3700
1,6750001,6800000,86.8800,0,13.1100
1,6800001,6850000,100.0000,0,0
1,6850001,6900000,100.0000,0,0
1,6900001,6950000,100.0000,0,0
1,6950001,7000000,97.1000,0,2.8900
1,7000001,7050000,68.2400,13.6000,18.1400
1,7050001,7100000,91.3700,2.6200,6.0000
1,7100001,7150000,86.7200,6.0000,7.2700
1,7150001,7200000,88.0000,6.0000,6.0000
1,7200001,7250000,85.8000,6.0000,8.1900
1,7250001,7300000,88.0000,.8800,11.1100
1,7300001,7350000,85.5000,.6300,13.8500
1,7350001,7400000,88.9400,0,11.0500
1,7400001,7450000,84.1200,5.1900,10.6800
1,7450001,7500000,82.0600,4.9600,12.9600
