chr,start,end,EUT,AAI,AFT
1,100001,150000,90,10,0
1,150001,200000,52.5,42.5,5
1,200001,250000,9.52,40.64,49.82
1,250001,300000,13.65,45.36,40.97
1,300001,350000,19.01,25.66,55.31
1,350001,400000,24.86,21.6,53.53
1,400001,450000,42.41,28.19,29.39
1,450001,500000,56.33,15.4,28.25
1,500001,550000,66.22,14.6,19.16
1,550001,600000,53.83,14.75,31.41
1,600001,650000,52.95,21.37,25.67
1,650001,700000,55.02,25.23,19.74
1,700001,750000,58.88,36.11,5
1,750001,800000,50,50,0
1,800001,850000,28.49,56.5,15
1,850001,900000,30,60,10
1,900001,950000,29.17,67.61,3.2
1,900001,950000,29.17,67.61,3.2
1,950001,1000000,19.58,44.27,36.13
1,950001,1000000,19.58,44.27,36.13
1,1000001,1050000,16.06,47.63,36.29
1,1050001,1100000,44.07,42.89,13.03
1,1100001,1150000,50,45,5
1,1150001,1200000,44.75,42.68,12.56
1,1200001,1250000,36.37,44.27,19.35
1,1250001,1300000,20.32,45.19,34.47
1,1300001,1350000,32.27,52.52,15.19
1,1350001,1400000,28.31,45,26.68
1,1400001,1450000,40,45,15
1,1450001,1500000,18.36,46.4,35.22
1,1500001,1550000,15,50,35
1,1550001,1600000,9.4,52.82,37.77
1,1600001,1650000,10,52.66,37.33
1,1650001,1700000,26.64,54.45,18.9
1,1700001,1750000,17.4,56.99,25.6
1,1750001,1800000,10,65,25
1,1800001,1850000,36.7,40.87,22.42
1,1850001,1900000,5,75,20
1,1900001,1950000,7.91,53.8,38.28
1,1950001,2000000,35,50,15
1,2000001,2050000,35,50,15
1,2050001,2100000,20.32,50,29.67
1,2100001,2150000,22.44,51.77,25.77
1,2150001,2200000,21.17,58.18,20.63
1,2200001,2250000,20.01,57.59,22.38
1,2250001,2300000,23.5,48.7,27.79
1,2300001,2350000,22.78,47.63,29.58
1,2350001,2400000,25.82,50,24.17
1,2400001,2450000,23.84,51.67,24.47
1,2450001,2500000,7.44,62.72,29.83
1,2500001,2550000,8.58,61.19,30.22
1,2550001,2600000,5,70.59,24.4
1,2600001,2650000,7.22,45.02,47.75
1,2650001,2700000,5,60,35
1,2700001,2750000,10.54,47.48,41.97
1,2750001,2800000,30,30,40
1,2800001,2850000,30,30,40
1,2850001,2900000,25,30,45
1,2900001,2950000,39.4,33.48,27.1
1,2950001,3000000,20.07,38.6,41.31
1,3000001,3050000,34.41,29.78,35.79
1,3050001,3100000,38.94,25.72,35.32
1,3100001,3150000,5,75,20
1,3150001,3200000,7.62,47.02,45.34
1,3200001,3250000,57.33,30.9,11.76
1,3250001,3300000,48.28,23.79,27.92
1,3300001,3350000,53.78,27.71,18.5
1,3350001,3400000,20.66,57.66,21.66
1,3400001,3450000,20.98,51.45,27.55
1,3450001,3500000,36.18,30.08,33.72
1,3500001,3550000,40,36.21,23.78
1,3550001,3600000,29.25,34.8,35.94
1,3600001,3650000,46.11,38.88,15
1,3650001,3700000,54.26,36.23,9.5
1,3700001,3750000,38.08,37.98,23.92
1,3750001,3800000,65,35,0
1,3800001,3850000,44.55,35,20.44
1,3850001,3900000,49.98,43.94,6.07
1,3900001,3950000,44.3,40.69,15
1,3950001,4000000,61.26,33.73,5
1,4000001,4050000,60.1,34.89,5
1,4050001,4100000,52.95,42.04,5
1,4100001,4150000,52.89,42.1,5
1,4150001,4200000,26.4,47.79,25.8
1,4200001,4250000,16.74,48.25,35
1,4250001,4300000,63.9,23.83,12.25
1,4300001,4350000,66.38,28.61,5
1,4350001,4400000,54.36,30.63,15
1,4400001,4450000,65.87,29.12,5
1,4450001,4500000,65.83,17.18,16.97
