chr,start,end,eut,aai,aft
1,100001,150000,28.79,5.93,65.27
1,150001,200000,46.49,18.43,35.07
1,200001,250000,28.39,9.47,62.12
1,250001,300000,32.78,5.15,62.06
1,300001,350000,41.06,6.52,52.41
1,350001,400000,46.28,11.39,42.32
1,400001,450000,64.22,6.56,29.21
1,450001,500000,72.59,6.16,21.23
1,500001,550000,67.15,5.15,27.69
1,550001,600000,45.83,4.29,49.86
1,600001,650000,49.76,9.44,40.79
1,650001,700000,73.33,1.31,25.35
1,700001,750000,78.12,7.44,14.43
1,750001,800000,41.69,17.72,40.57
1,800001,850000,58.78,28.84,12.37
1,850001,900000,45.83,49.67,4.48
1,900001,950000,36.87,57.44,5.68
1,950001,1000000,43.46,47.66,8.86
1,1000001,1050000,39.43,49.78,10.77
1,1050001,1100000,38.71,37.24,24.03
1,1100001,1150000,65,35,0
1,1150001,1200000,47.34,31.67,20.97
1,1200001,1250000,40.81,47.44,11.74
1,1250001,1300000,37.5,47,15.49
1,1300001,1350000,34.71,44.6,20.67
1,1350001,1400000,40.56,28.55,30.87
1,1400001,1450000,32.47,41.12,26.4
1,1450001,1500000,55.13,20,24.86
1,1500001,1550000,46.1,19,34.89
1,1550001,1600000,40.35,34.62,25.02
1,1600001,1650000,21.39,48.21,30.39
1,1650001,1700000,40.56,50.65,8.77
1,1700001,1750000,34.46,50,15.53
1,1750001,1800000,30.12,51.96,17.91
1,1800001,1850000,30,50,20
1,1850001,1900000,30,50,20
1,1900001,1950000,32.45,47.46,20.07
1,1950001,2000000,40.43,42.44,17.12
1,2000001,2050000,40.4,43.54,16.04
1,2050001,2100000,30,49.33,20.66
1,2100001,2150000,47.64,25.07,27.27
1,2150001,2200000,53.74,23.75,22.49
1,2200001,2250000,50.36,28.93,20.69
1,2250001,2300000,69.83,19.21,10.94
1,2300001,2350000,71.02,14.39,14.57
1,2350001,2400000,87.25,0,12.74
1,2400001,2450000,63.49,10.69,25.8
1,2450001,2500000,55,32.5,12.5
1,2500001,2550000,38.03,28.05,33.91
1,2550001,2600000,80,20,0
1,2600001,2650000,50,17.5,32.5
1,2650001,2700000,77.5,13.37,9.12
1,2700001,2750000,79.66,8.25,12.08
1,2750001,2800000,40.68,27.5,31.81
1,2800001,2850000,59.8,3.77,36.42
1,2850001,2900000,57.89,15.5,26.6
1,2900001,2950000,68.78,0,31.21
1,2950001,3000000,61.71,1.24,37.03
1,3000001,3050000,60.07,26.16,13.76
1,3050001,3100000,60.96,13.77,25.25
1,3100001,3150000,42.8,36.6,20.58
1,3150001,3200000,44.01,41.17,14.8
1,3200001,3250000,48.81,45.83,5.34
1,3250001,3300000,58.08,41.91,0
