chr,start,end,eut,aai,aft,
1,100001,150000,81.16,0.58,18.25,
1,150001,200000,85.07,3.25,11.66,
1,200001,250000,62.67,8.01,29.31,
1,250001,300000,80.79,8.87,10.32,
1,300001,350000,56.97,7.99,35.03,
1,350001,400000,76.33,6.97,16.69,
1,400001,450000,82.97,9.8,7.21,
1,450001,500000,87.56,6.31,6.11,
1,500001,550000,79.93,8.57,11.48,
1,550001,600000,76.9,5.97,17.11,
1,600001,650000,80.52,9.32,10.14,
1,650001,700000,85.85,2.84,11.3,
1,700001,750000,98.14,0,1.85,
1,750001,800000,91.13,1.45,7.4,
1,800001,850000,87.11,11.84,1.03,
1,850001,900000,74.61,21.13,4.24,
1,900001,950000,91.52,8.47,0,
1,950001,1000000,98.95,0,1.04,
1,1000001,1050000,99.89,0.1,0,
1,1050001,1100000,93.38,4.33,2.27,
1,1100001,1150000,100,0,0,
1,1150001,1200000,38.19,44.44,17.36,
1,1200001,1250000,94.47,5.46,0.06,
1,1250001,1300000,80.37,0,19.62,
1,1300001,1350000,71.26,27.28,1.45,
1,1350001,1400000,68.26,0.24,31.48,
1,1400001,1450000,94.74,3.4,1.85,
1,1450001,1500000,83.73,0,16.26,
1,1500001,1550000,79.24,18.36,2.38,
1,1550001,1600000,70.32,0,29.67,
1,1600001,1650000,68.96,0,31.03,
1,1650001,1700000,68.51,0,31.48,
1,1700001,1750000,82.67,0.68,16.64,
1,1750001,1800000,87.03,0,12.96,
1,1800001,1850000,63.85,0.32,35.82,
1,1850001,1900000,94.44,0,5.55,
1,1900001,1950000,68.51,0,31.48,
1,1950001,2000000,90.74,0,9.25,
1,2000001,2050000,90.74,0,9.25,
1,2050001,2100000,73.6,1.85,24.54,
1,2100001,2150000,64.34,0,35.65,
1,2150001,2200000,93.01,1.85,5.13,
1,2200001,2250000,94.85,0,5.14,
1,2250001,2300000,100,0,0,
1,2300001,2350000,96.29,0,3.7,
1,2350001,2400000,95.82,0,4.17,
1,2400001,2450000,100,0,0,
1,2450001,2500000,100,0,0,
1,2500001,2550000,96.31,1.83,1.85,
1,2550001,2600000,96.29,1.92,1.77,
1,2600001,2650000,96.59,0.26,3.13,
1,2650001,2700000,96.56,2.47,0.95,
1,2700001,2750000,97.17,1.34,1.48,
1,2750001,2800000,86.02,9.25,4.72,
1,2800001,2850000,98.14,0,1.85,
1,2850001,2900000,98.14,0,1.85,
1,2900001,2950000,98.14,0,1.85,
1,2950001,3000000,14.42,84.91,0.66,
1,3000001,3050000,100,0,0,
1,3050001,3100000,97.32,0,2.67,
1,3100001,3150000,98.14,1.85,0,
1,3150001,3200000,98.14,0,1.85,
1,3200001,3250000,96.4,2.71,0.87,
1,3250001,3300000,40.2,59.79,0,
1,3300001,3350000,18.51,49.69,31.79,
1,3350001,3400000,84.5,0,15.49,
1,3400001,3450000,56.3,43.69,0,
1,3450001,3500000,100,0,0,
1,3500001,3550000,92.18,3.82,3.98,
1,3550001,3600000,99.61,0.38,0,
1,3600001,3650000,100,0,0,
1,3650001,3700000,99.67,0.32,0,
1,3700001,3750000,81.55,0,18.44,
1,3750001,3800000,88.01,0,11.98,
1,3800001,3850000,52.44,36.27,11.28,
1,3850001,3900000,7.53,0,92.46,
1,3900001,3950000,7.4,0,92.59,
1,3950001,4000000,17.84,0,82.15,
1,4000001,4050000,12.9,1.85,85.24,
1,4050001,4100000,10.32,0,89.67,
1,4100001,4150000,7.5,0,92.49,
1,4150001,4200000,72.19,0,27.8,
1,4200001,4250000,92.07,1.34,6.58,
1,4250001,4300000,99.15,0.61,0.22,
1,4300001,4350000,100,0,0,
1,4350001,4400000,98.14,0,1.85,
1,4400001,4450000,100,0,0,
1,4450001,4500000,74.95,22.58,2.45,
1,4500001,4550000,50.9,0,49.09,
1,4550001,4600000,99.86,0,0.13,
1,4600001,4650000,98.14,0,1.85,
1,4650001,4700000,59.99,10.34,29.66,
1,4700001,4750000,78.83,6.51,14.65,
1,4750001,4800000,92.59,7.4,0,
1,4800001,4850000,92.59,7.4,0,
1,4850001,4900000,82.32,12.01,5.65,
1,4900001,4950000,63.85,16.76,19.38,
1,4950001,5000000,73.08,25.06,1.85,
1,5000001,5050000,77.77,22.22,0,
1,5050001,5100000,95.55,2.59,1.85,
1,5100001,5150000,81.48,7.4,11.11,
1,5150001,5200000,100,0,0,
1,5200001,5250000,96.11,3.7,0.17,
1,5250001,5300000,86.21,12.96,0.82,
1,5300001,5350000,93.93,0,6.06,
1,5350001,5400000,73.27,8.09,18.62,
1,5400001,5450000,74.07,7.4,18.51,
1,5450001,5500000,68.51,31.48,0,
1,5500001,5550000,94.44,5.55,0,
1,5550001,5600000,71.63,27.91,0.45,
1,5600001,5650000,92.01,4.89,3.08,
1,5650001,5700000,95.84,3.1,1.05,
1,5700001,5750000,78.74,21.25,0,
1,5750001,5800000,100,0,0,
1,5800001,5850000,91.83,8.02,0.13,
1,5850001,5900000,96.11,0,3.88,
1,5900001,5950000,91.93,0,8.06,
1,5950001,6000000,93.29,0.93,5.76,
1,6000001,6050000,95.3,3.17,1.51,
1,6050001,6100000,74.58,22.43,2.98,
1,6100001,6150000,88.33,9.25,2.4,
1,6150001,6200000,92.02,7.45,0.51,
1,6200001,6250000,98.93,0.6,0.46,
1,6250001,6300000,85.92,0.33,13.73,
1,6300001,6350000,93.7,2.22,4.07,
1,6350001,6400000,92.82,0.92,6.24,
1,6400001,6450000,77.77,14.81,7.4,
1,6450001,6500000,92.59,0,7.4,
1,6500001,6550000,79.71,12.88,7.4,
1,6550001,6600000,77.53,5.69,16.76,
1,6600001,6650000,83.49,1.65,14.84,
1,6650001,6700000,80.73,0,19.26,
1,6700001,6750000,92.25,0,7.74,
1,6750001,6800000,72.73,0,27.26,
