chr,start,end,eut,aai,aft
1,100001,150000,90.3100,0,9.6800
1,150001,200000,92.9500,.5400,6.4900
1,200001,250000,88.3300,1.2400,10.4100
1,250001,300000,92.1900,2.8800,4.9200
1,300001,350000,96.6100,1.0300,2.3500
1,350001,400000,91.7700,3.1300,5.0900
1,400001,450000,94.5300,.3500,5.1100
1,450001,500000,94.6100,1.4500,3.9300
1,500001,550000,93.7000,2.4100,3.8700
1,550001,600000,86.6000,1.6000,11.7800
1,600001,650000,86.6000,6.9200,6.4600
1,650001,700000,92.2400,2.2100,5.5400
1,700001,750000,94.8300,.0700,5.0800
1,750001,800000,80.7500,2.5800,16.6600
1,800001,850000,83.8900,16.1000,0
1,850001,900000,84.1900,0,15.8000
1,900001,950000,98.4800,0,1.5100
1,950001,1000000,79.8100,20.1800,0
1,1000001,1050000,80.5700,18.5600,.8500
1,1050001,1100000,83.8800,0,16.1100
1,1100001,1150000,99.3200,0,.6700
1,1150001,1200000,91.7300,4.7600,3.5000
1,1200001,1250000,69.3500,29.1400,1.4900
1,1250001,1300000,83.3300,16.6600,0
1,1300001,1350000,95.3400,4.6500,0
1,1350001,1400000,78.2400,17.0700,4.6800
1,1400001,1450000,95.2300,4.7600,0
1,1450001,1500000,76.1900,0,23.8000
1,1500001,1550000,85.0300,14.9600,0
1,1550001,1600000,100.0000,0,0
1,1600001,1650000,83.3300,16.6600,0
1,1650001,1700000,98.3100,1.6800,0
1,1700001,1750000,100.0000,0,0
1,1750001,1800000,99.8700,.1200,0
1,1800001,1850000,90.1500,9.8400,0
1,1850001,1900000,78.5700,21.4200,0
1,1900001,1950000,94.1600,0,5.8300
1,1950001,2000000,95.5800,0,4.4100
1,2000001,2050000,77.3300,1.0900,21.5700
1,2050001,2100000,100.0000,0,0
1,2100001,2150000,93.9200,0,6.0700
1,2150001,2200000,79.5600,11.0400,9.3900
1,2200001,2250000,84.4900,15.5000,0
1,2250001,2300000,86.0600,2.3800,11.5500
1,2300001,2350000,88.9700,2.3800,8.6400
1,2350001,2400000,96.1600,2.3800,1.4400
1,2400001,2450000,97.0800,1.0000,1.9100
1,2450001,2500000,100.0000,0,0
1,2500001,2550000,92.8500,0,7.1400
1,2550001,2600000,90.4700,9.5200,0
1,2600001,2650000,94.1200,5.8700,0
1,2650001,2700000,90.4700,9.5200,0
1,2700001,2750000,92.8500,7.1400,0
1,2750001,2800000,95.2300,4.7600,0
1,2800001,2850000,97.6100,2.3800,0
1,2850001,2900000,97.6100,2.3800,0
1,2900001,2950000,100.0000,0,0
1,2950001,3000000,79.8800,16.7200,3.3800
1,3000001,3050000,93.2200,.5400,6.2200
1,3050001,3100000,100.0000,0,0
1,3100001,3150000,95.2300,4.7600,0
1,3150001,3200000,96.8800,3.1100,0
1,3200001,3250000,80.7100,19.2800,0
1,3250001,3300000,82.5200,17.4700,0
1,3300001,3350000,80.8500,17.8100,1.3200
1,3350001,3400000,72.8500,15.3400,11.8000
1,3400001,3450000,95.1600,.5000,4.3300
1,3450001,3500000,94.3600,5.6300,0
1,3500001,3550000,100.0000,0,0
1,3550001,3600000,58.3400,18.3500,23.2900
1,3600001,3650000,83.4600,16.5300,0
1,3650001,3700000,61.6900,14.4900,23.8000
1,3700001,3750000,86.4200,3.3300,10.2400
1,3750001,3800000,97.6100,2.3800,0
1,3800001,3850000,96.3500,.0700,3.5700
1,3850001,3900000,99.3000,.6900,0
1,3900001,3950000,98.2600,0,1.7300
1,3950001,4000000,95.1200,0,4.8700
1,4000001,4050000,78.5700,2.3800,19.0400
1,4050001,4100000,92.3900,.1200,7.4800
1,4100001,4150000,98.2700,0,1.7200
1,4150001,4200000,95.9700,1.0100,3.0000
1,4200001,4250000,100.0000,0,0
1,4250001,4300000,99.5700,0,.4200
1,4300001,4350000,90.4700,0,9.5200
1,4350001,4400000,85.0200,0,14.9700
1,4400001,4450000,97.6100,0,2.3800
1,4450001,4500000,77.7700,21.4200,.8000
1,4500001,4550000,78.5700,0,21.4200
1,4550001,4600000,100.0000,0,0
1,4600001,4650000,99.0000,0,.9900
1,4650001,4700000,90.2600,7.1400,2.5800
1,4700001,4750000,95.6800,2.4400,1.8700
1,4750001,4800000,97.6100,2.3800,0
1,4800001,4850000,95.2300,0,4.7600
1,4850001,4900000,94.9100,5.0800,0
1,4900001,4950000,69.0400,30.0200,.9300
1,4950001,5000000,92.0200,7.1700,.7900
1,5000001,5050000,71.8500,28.1400,0
1,5050001,5100000,100.0000,0,0
1,5100001,5150000,100.0000,0,0
1,5150001,5200000,100.0000,0,0
1,5200001,5250000,95.4700,2.4700,2.0400
1,5250001,5300000,72.0100,27.9800,0
1,5300001,5350000,97.5300,0,2.4600
1,5350001,5400000,65.5800,10.4100,24.0000
1,5400001,5450000,100.0000,0,0
1,5450001,5500000,100.0000,0,0
1,5500001,5550000,98.4300,.0700,1.4800
1,5550001,5600000,89.4900,.8900,9.6100
1,5600001,5650000,100.0000,0,0
1,5650001,5700000,96.6200,2.1500,1.2100
1,5700001,5750000,97.1300,2.3800,.4800
1,5750001,5800000,97.7300,2.2600,0
1,5800001,5850000,89.5000,10.4900,0
1,5850001,5900000,100.0000,0,0
1,5900001,5950000,97.6100,2.3800,0
1,5950001,6000000,95.3100,1.1400,3.5400
1,6000001,6050000,99.0600,.8700,.0500
1,6050001,6100000,98.8100,.7300,.4400
1,6100001,6150000,89.4100,6.7300,3.8500
1,6150001,6200000,96.9000,1.7800,1.3100
1,6200001,6250000,100.0000,0,0
1,6250001,6300000,97.9100,0,2.0800
1,6300001,6350000,82.8200,2.3800,14.7900
1,6350001,6400000,100.0000,0,0
1,6400001,6450000,88.2600,11.7300,0
1,6450001,6500000,98.0200,1.9700,0
1,6500001,6550000,86.1700,13.8200,0
1,6550001,6600000,87.1600,11.9000,.9200
1,6600001,6650000,65.4300,28.0000,6.5500
1,6650001,6700000,98.9100,0,1.0800
1,6700001,6750000,91.5600,2.4700,5.9600
1,6750001,6800000,92.0100,1.3900,6.5900
1,6800001,6850000,96.2600,0,3.7300
1,6850001,6900000,97.6100,0,2.3800
1,6900001,6950000,100.0000,0,0
1,6950001,7000000,100.0000,0,0
1,7000001,7050000,98.7400,0,1.2500
1,7050001,7100000,98.2200,1.7700,0
1,7100001,7150000,98.8200,1.1700,0
1,7150001,7200000,76.1900,23.8000,0
1,7200001,7250000,99.2300,.7600,0
1,7250001,7300000,100.0000,0,0
1,7300001,7350000,88.6700,10.9900,.3300
1,7350001,7400000,97.6900,0,2.3000
1,7400001,7450000,89.7900,.9200,9.2700
1,7450001,7500000,98.2500,1.3300,.4000
1,7500001,7550000,92.0400,.1100,7.8400
1,7550001,7600000,99.7700,0,.2200
1,7600001,7650000,95.4700,4.4500,.0600
1,7650001,7700000,91.8700,5.8600,2.2500
1,7700001,7750000,85.2100,11.9800,2.8000
1,7750001,7800000,100.0000,0,0
1,7800001,7850000,99.0100,0,.9800
1,7850001,7900000,100.0000,0,0
1,7900001,7950000,97.6100,0,2.3800
1,7950001,8000000,91.8200,6.4000,1.7600
1,8000001,8050000,86.7800,13.2100,0
1,8050001,8100000,94.4700,5.5200,0
1,8100001,8150000,93.8700,4.5000,1.6100
1,8150001,8200000,88.2900,11.7000,0
1,8200001,8250000,74.5200,20.8700,4.5900
1,8250001,8300000,71.9600,14.2800,13.7400
1,8300001,8350000,80.4800,18.9500,.5600
1,8350001,8400000,90.9600,9.0300,0
1,8400001,8450000,90.4700,9.5200,0
1,8450001,8500000,99.3100,.3700,.3000
1,8500001,8550000,73.8000,19.0400,7.1400
1,8550001,8600000,84.5100,9.9800,5.4900
1,8600001,8650000,80.3200,19.6700,0
1,8650001,8700000,75.5100,18.0700,6.4100
1,8700001,8750000,83.1900,10.7900,6.0100
1,8750001,8800000,79.9500,19.3100,.7300
1,8800001,8850000,87.4500,8.0200,4.5100
1,8850001,8900000,95.6200,2.3800,1.9900
1,8900001,8950000,92.6700,2.3800,4.9300
1,8950001,9000000,83.8200,0,16.1700
1,9000001,9050000,96.0300,1.5800,2.3800
1,9050001,9100000,96.0000,2.4600,1.5300
1,9100001,9150000,97.6100,0,2.3800
1,9150001,9200000,78.1600,20.8000,1.0300
1,9200001,9250000,64.6500,10.3700,24.9700
1,9250001,9300000,100.0000,0,0
1,9300001,9350000,94.8000,2.3800,2.8100
1,9350001,9400000,100.0000,0,0
1,9400001,9450000,100.0000,0,0
1,9450001,9500000,87.3700,10.2400,2.3800
1,9500001,9550000,76.1900,23.8000,0
1,9550001,9600000,85.5800,0,14.4100
1,9600001,9650000,95.2300,0,4.7600
1,9650001,9700000,82.3800,4.0700,13.5300
1,9700001,9750000,76.8100,6.5200,16.6600
1,9750001,9800000,82.1700,13.0600,4.7600
1,9800001,9850000,85.8700,7.1200,6.9900
1,9850001,9900000,95.4700,.6100,3.9100
1,9900001,9950000,86.7500,3.4100,9.8300
1,9950001,10000000,100.0000,0,0
1,10000001,10050000,89.9200,.7200,9.3400
1,10050001,10100000,98.1800,0,1.8100
1,10100001,10150000,100.0000,0,0
1,10150001,10200000,81.5900,4.7600,13.6400
1,10200001,10250000,71.9800,0,28.0100
1,10250001,10300000,73.4200,18.2600,8.3100
1,10300001,10350000,99.3400,.6500,0
1,10350001,10400000,91.7300,1.3100,6.9500
1,10400001,10450000,94.5500,1.3000,4.1400
1,10450001,10500000,96.4600,0,3.5300
1,10500001,10550000,93.5000,.4500,6.0400
1,10550001,10600000,97.6800,2.1800,.1200
1,10600001,10650000,98.5700,.7300,.6800
1,10650001,10700000,91.3000,0,8.6900
1,10700001,10750000,100.0000,0,0
1,10750001,10800000,81.2600,18.7300,0
1,10800001,10850000,99.1300,.8600,0
1,10850001,10900000,97.0000,0,2.9900
1,10900001,10950000,85.7100,0,14.2800
1,10950001,11000000,68.3200,2.3800,29.2900
1,11000001,11050000,100.0000,0,0
1,11050001,11100000,97.1000,2.0400,.8400
1,11100001,11150000,92.0900,2.7800,5.1100
1,11150001,11200000,90.4700,0,9.5200
1,11200001,11250000,89.0600,2.3800,8.5500
1,11250001,11300000,97.7200,0,2.2700
1,11300001,11350000,97.6100,2.3800,0
1,11350001,11400000,98.2800,1.7100,0
