Gene	Ancestry	Variant rank	GeneId	TranscriptId	BioType	Egyptian_cattle_Upper	Egyptian_cattle_Middle	Egyptian_cattle_Lower	Bonsmara	Tuli	Nguni	Afrikaner	Retention breed count
ALB	eut	high	ENSBTAG00000017121	ENSBTAT00000080685	protein_coding	0	0	1	0	0	0	0	1
BMS1	eut	high	ENSBTAG00000012878	ENSBTAT00000048816	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000052130	eut	high	ENSBTAG00000052130	ENSBTAT00000067648	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000055013	eut	high	ENSBTAG00000055013	ENSBTAT00000073692	protein_coding	0	0	0	1	0	0	0	1
POGK	eut	high	ENSBTAG00000010775	ENSBTAT00000067761	protein_coding	0	0	0	0	1	0	0	1
ZSCAN23	eut	moderate	ENSBTAG00000037965	ENSBTAT00000052461	protein_coding	0	1	0	1	1	1	1	5
ENSBTAG00000049576	eut	moderate	ENSBTAG00000049576	ENSBTAT00000084770	protein_coding	0	0	0	1	1	1	1	4
RNF145	eut	moderate	ENSBTAG00000025099	ENSBTAT00000056189	protein_coding	0	0	0	1	1	1	1	4
ACSF3	eut	moderate	ENSBTAG00000015968	ENSBTAT00000074151	protein_coding	0	0	0	1	1	0	1	3
DIMT1	eut	moderate	ENSBTAG00000011812	ENSBTAT00000015680	protein_coding	0	0	0	0	1	1	1	3
ENSBTAG00000004181	eut	moderate	ENSBTAG00000004181	ENSBTAT00000005478	protein_coding	0	0	1	1	0	0	1	3
ENSBTAG00000051820	eut	moderate	ENSBTAG00000051820	ENSBTAT00000079034	protein_coding	0	0	1	1	0	0	1	3
MRPL13	eut	moderate	ENSBTAG00000006767	ENSBTAT00000008903	protein_coding	0	0	0	0	1	1	1	3
MTBP	eut	moderate	ENSBTAG00000006770	ENSBTAT00000008906	protein_coding	0	0	0	0	1	1	1	3
NCOA2	eut	moderate	ENSBTAG00000020312	ENSBTAT00000027071	protein_coding	0	0	0	1	1	0	1	3
TACR3	eut	moderate	ENSBTAG00000016247	ENSBTAT00000021612	protein_coding	0	0	1	0	1	1	0	3
AHCYL2	eut	moderate	ENSBTAG00000001754	ENSBTAT00000073305	protein_coding	0	0	0	0	1	1	0	2
ANKRD11	eut	moderate	ENSBTAG00000016006	ENSBTAT00000021306	protein_coding	0	0	0	1	0	0	1	2
ATP10D	eut	moderate	ENSBTAG00000000473	ENSBTAT00000000601	protein_coding	0	0	1	0	0	0	1	2
ATP6V1FNB	eut	moderate	ENSBTAG00000045645	ENSBTAT00000066003	protein_coding	0	0	0	0	1	1	0	2
CAPZA1	eut	moderate	ENSBTAG00000014295	ENSBTAT00000076615	protein_coding	1	0	1	0	0	0	0	2
CDS1	eut	moderate	ENSBTAG00000045787	ENSBTAT00000065725	protein_coding	0	0	1	0	0	1	0	2
CORIN	eut	moderate	ENSBTAG00000002199	ENSBTAT00000002847	protein_coding	0	0	1	0	0	0	1	2
CTBS	eut	moderate	ENSBTAG00000005782	ENSBTAT00000007603	protein_coding	1	0	1	0	0	0	0	2
DBX2	eut	moderate	ENSBTAG00000006635	ENSBTAT00000008720	protein_coding	0	0	1	0	0	0	1	2
ENSBTAG00000006819	eut	moderate	ENSBTAG00000006819	ENSBTAT00000008973	protein_coding	0	0	0	0	1	1	0	2
ENSBTAG00000050238	eut	moderate	ENSBTAG00000050238	ENSBTAT00000078454	protein_coding	0	0	0	1	0	0	1	2
ENSBTAG00000051697	eut	moderate	ENSBTAG00000051697	ENSBTAT00000081436	protein_coding	0	0	0	0	1	1	0	2
ENSBTAG00000052152	eut	moderate	ENSBTAG00000052152	ENSBTAT00000030222	protein_coding	0	1	0	0	1	0	0	2
ENSBTAG00000052841	eut	moderate	ENSBTAG00000052841	ENSBTAT00000071436	protein_coding	1	0	1	0	0	0	0	2
GEMIN2	eut	moderate	ENSBTAG00000020930	ENSBTAT00000027878	protein_coding	0	0	0	0	1	1	0	2
KCP	eut	moderate	ENSBTAG00000003449	ENSBTAT00000033567	protein_coding	0	0	0	0	1	1	0	2
MYO7A	eut	moderate	ENSBTAG00000003955	ENSBTAT00000005191	protein_coding	0	0	0	0	1	1	0	2
NSMCE2	eut	moderate	ENSBTAG00000009394	ENSBTAT00000012363	protein_coding	1	1	0	0	0	0	0	2
PGLYRP4	eut	moderate	ENSBTAG00000054765	ENSBTAT00000066655	protein_coding	0	0	0	0	0	1	1	2
PNN	eut	moderate	ENSBTAG00000026995	ENSBTAT00000038642	protein_coding	0	0	0	0	1	1	0	2
PPM1J	eut	moderate	ENSBTAG00000006081	ENSBTAT00000007990	protein_coding	1	0	1	0	0	0	0	2
REV3L	eut	moderate	ENSBTAG00000010760	ENSBTAT00000060948	protein_coding	1	0	0	0	1	0	0	2
RPF1	eut	moderate	ENSBTAG00000008118	ENSBTAT00000010676	protein_coding	1	0	1	0	0	0	0	2
RPF2	eut	moderate	ENSBTAG00000016584	ENSBTAT00000022060	protein_coding	0	0	0	0	1	0	1	2
S100A9	eut	moderate	ENSBTAG00000006505	ENSBTAT00000008523	protein_coding	0	0	0	0	0	1	1	2
SETD5	eut	moderate	ENSBTAG00000019193	ENSBTAT00000025546	protein_coding	0	0	0	1	1	0	0	2
SPATA1	eut	moderate	ENSBTAG00000020010	ENSBTAT00000064037	protein_coding	1	0	1	0	0	0	0	2
STRA6	eut	moderate	ENSBTAG00000007348	ENSBTAT00000071134	protein_coding	0	0	0	1	0	0	1	2
TBC1D14	eut	moderate	ENSBTAG00000005493	ENSBTAT00000039389	protein_coding	1	0	0	0	1	0	0	2
ABAT	eut	moderate	ENSBTAG00000004038	ENSBTAT00000005280	protein_coding	0	0	0	0	0	0	1	1
AFM	eut	moderate	ENSBTAG00000047833	ENSBTAT00000063031	protein_coding	0	0	1	0	0	0	0	1
AFP	eut	moderate	ENSBTAG00000017131	ENSBTAT00000022772	protein_coding	0	0	1	0	0	0	0	1
AGL	eut	moderate	ENSBTAG00000006491	ENSBTAT00000008518	protein_coding	0	0	1	0	0	0	0	1
AGRP	eut	moderate	ENSBTAG00000014556	ENSBTAT00000019347	protein_coding	1	0	0	0	0	0	0	1
AIF1L	eut	moderate	ENSBTAG00000052140	ENSBTAT00000085638	protein_coding	0	0	0	0	1	0	0	1
AIMP1	eut	moderate	ENSBTAG00000004230	ENSBTAT00000005542	protein_coding	0	0	1	0	0	0	0	1
ALB	eut	moderate	ENSBTAG00000017121	ENSBTAT00000022763	protein_coding	0	0	1	0	0	0	0	1
AMD1	eut	moderate	ENSBTAG00000003342	ENSBTAT00000069202	protein_coding	0	1	0	0	0	0	0	1
ATP10A	eut	moderate	ENSBTAG00000027081	ENSBTAT00000035192	protein_coding	0	0	0	0	1	0	0	1
BAZ2B	eut	moderate	ENSBTAG00000020654	ENSBTAT00000027534	protein_coding	0	0	0	0	1	0	0	1
BMS1	eut	moderate	ENSBTAG00000012878	ENSBTAT00000048816	protein_coding	0	0	0	0	1	0	0	1
C25H16orf71	eut	moderate	ENSBTAG00000006595	ENSBTAT00000037505	protein_coding	1	0	0	0	0	0	0	1
CASP6	eut	moderate	ENSBTAG00000012537	ENSBTAT00000016642	protein_coding	0	0	0	0	1	0	0	1
CCDC180	eut	moderate	ENSBTAG00000015378	ENSBTAT00000030764	protein_coding	0	1	0	0	0	0	0	1
CDKL3	eut	moderate	ENSBTAG00000010979	ENSBTAT00000014574	protein_coding	0	0	0	0	0	0	1	1
CEP131	eut	moderate	ENSBTAG00000000875	ENSBTAT00000001166	protein_coding	0	0	0	0	1	0	0	1
CHIC2	eut	moderate	ENSBTAG00000032660	ENSBTAT00000031096	protein_coding	0	0	0	0	0	0	1	1
CHN1	eut	moderate	ENSBTAG00000008028	ENSBTAT00000083135	protein_coding	0	0	0	1	0	0	0	1
CLK4	eut	moderate	ENSBTAG00000019414	ENSBTAT00000072853	protein_coding	0	0	0	1	0	0	0	1
CRISPLD2	eut	moderate	ENSBTAG00000021176	ENSBTAT00000028221	protein_coding	0	0	0	0	1	0	0	1
CSMD3	eut	moderate	ENSBTAG00000039068	ENSBTAT00000057011	protein_coding	1	0	0	0	0	0	0	1
DCLRE1A	eut	moderate	ENSBTAG00000020193	ENSBTAT00000026896	protein_coding	0	0	0	0	1	0	0	1
DENND1A	eut	moderate	ENSBTAG00000003610	ENSBTAT00000061512	protein_coding	1	0	0	0	0	0	0	1
DNASE1L2	eut	moderate	ENSBTAG00000009964	ENSBTAT00000013142	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000019801	eut	moderate	ENSBTAG00000019801	ENSBTAT00000026380	protein_coding	0	0	0	1	0	0	0	1
ENSBTAG00000021729	eut	moderate	ENSBTAG00000021729	ENSBTAT00000028965	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000023000	eut	moderate	ENSBTAG00000023000	ENSBTAT00000031240	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000027341	eut	moderate	ENSBTAG00000027341	ENSBTAT00000039211	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000040034	eut	moderate	ENSBTAG00000040034	ENSBTAT00000053340	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000047316	eut	moderate	ENSBTAG00000047316	ENSBTAT00000065459	protein_coding	1	0	0	0	0	0	0	1
ENSBTAG00000048686	eut	moderate	ENSBTAG00000048686	ENSBTAT00000055838	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000048786	eut	moderate	ENSBTAG00000048786	ENSBTAT00000081843	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000048799	eut	moderate	ENSBTAG00000048799	ENSBTAT00000068741	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000048884	eut	moderate	ENSBTAG00000048884	ENSBTAT00000077822	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000048924	eut	moderate	ENSBTAG00000048924	ENSBTAT00000086770	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000049018	eut	moderate	ENSBTAG00000049018	ENSBTAT00000068080	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000049109	eut	moderate	ENSBTAG00000049109	ENSBTAT00000077617	protein_coding	1	0	0	0	0	0	0	1
ENSBTAG00000049224	eut	moderate	ENSBTAG00000049224	ENSBTAT00000069321	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000049436	eut	moderate	ENSBTAG00000049436	ENSBTAT00000080212	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000049592	eut	moderate	ENSBTAG00000049592	ENSBTAT00000080573	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000049617	eut	moderate	ENSBTAG00000049617	ENSBTAT00000069032	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000049831	eut	moderate	ENSBTAG00000049831	ENSBTAT00000085541	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000049955	eut	moderate	ENSBTAG00000049955	ENSBTAT00000087309	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000050053	eut	moderate	ENSBTAG00000050053	ENSBTAT00000084468	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000050172	eut	moderate	ENSBTAG00000050172	ENSBTAT00000075418	protein_coding	0	0	0	1	0	0	0	1
ENSBTAG00000052130	eut	moderate	ENSBTAG00000052130	ENSBTAT00000067648	protein_coding	0	1	0	0	0	0	0	1
ENSBTAG00000052728	eut	moderate	ENSBTAG00000052728	ENSBTAT00000021705	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000053053	eut	moderate	ENSBTAG00000053053	ENSBTAT00000072531	protein_coding	0	0	1	0	0	0	0	1
ENSBTAG00000053526	eut	moderate	ENSBTAG00000053526	ENSBTAT00000068500	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000054190	eut	moderate	ENSBTAG00000054190	ENSBTAT00000082985	protein_coding	0	0	0	0	1	0	0	1
ENSBTAG00000054368	eut	moderate	ENSBTAG00000054368	ENSBTAT00000078382	protein_coding	0	0	0	0	0	0	1	1
ENSBTAG00000054458	eut	moderate	ENSBTAG00000054458	ENSBTAT00000068020	protein_coding	0	0	0	0	0	1	0	1
ENSBTAG00000055013	eut	moderate	ENSBTAG00000055013	ENSBTAT00000073692	protein_coding	0	0	0	1	0	0	0	1
ERCC8	eut	moderate	ENSBTAG00000021606	ENSBTAT00000028792	protein_coding	0	0	0	0	0	0	1	1
GOLGA4	eut	moderate	ENSBTAG00000016563	ENSBTAT00000022033	protein_coding	0	0	0	0	1	0	0	1
IDUA	eut	moderate	ENSBTAG00000007002	ENSBTAT00000009212	protein_coding	0	0	0	0	0	0	1	1
IL12RB2	eut	moderate	ENSBTAG00000009455	ENSBTAT00000012441	protein_coding	0	0	1	0	0	0	0	1
KCNJ12	eut	moderate	ENSBTAG00000020061	ENSBTAT00000026726	protein_coding	0	0	0	0	0	0	1	1
KIF21A	eut	moderate	ENSBTAG00000004832	ENSBTAT00000006351	protein_coding	0	0	0	0	0	0	1	1
KMO	eut	moderate	ENSBTAG00000014439	ENSBTAT00000034160	protein_coding	0	1	0	0	0	0	0	1
LRRC36	eut	moderate	ENSBTAG00000001838	ENSBTAT00000078012	protein_coding	1	0	0	0	0	0	0	1
MEP1A	eut	moderate	ENSBTAG00000004345	ENSBTAT00000005686	protein_coding	0	0	0	0	1	0	0	1
MROH7	eut	moderate	ENSBTAG00000044141	ENSBTAT00000061627	protein_coding	0	0	0	1	0	0	0	1
MRPL1	eut	moderate	ENSBTAG00000018360	ENSBTAT00000045390	protein_coding	0	0	1	0	0	0	0	1
NCOA3	eut	moderate	ENSBTAG00000007489	ENSBTAT00000009850	protein_coding	0	0	0	1	0	0	0	1
NHLRC2	eut	moderate	ENSBTAG00000003690	ENSBTAT00000004806	protein_coding	0	0	0	0	1	0	0	1
NLRX1	eut	moderate	ENSBTAG00000040569	ENSBTAT00000016601	protein_coding	1	0	0	0	0	0	0	1
NRDC	eut	moderate	ENSBTAG00000021174	ENSBTAT00000028220	protein_coding	0	0	0	1	0	0	0	1
OR8S1	eut	moderate	ENSBTAG00000038670	ENSBTAT00000055858	protein_coding	0	0	1	0	0	0	0	1
PATJ	eut	moderate	ENSBTAG00000021975	ENSBTAT00000029300	protein_coding	0	0	0	0	0	1	0	1
PDE6B	eut	moderate	ENSBTAG00000017480	ENSBTAT00000052174	protein_coding	0	0	1	0	0	0	0	1
