chr,start,end,eut,aai,aft
1,100001,150000,88.9000,0,11.0900
1,150001,200000,95.2000,0,4.7900
1,200001,250000,85.2600,.3800,14.3400
1,250001,300000,93.7900,.9100,5.2800
1,300001,350000,83.0000,.4700,16.5100
1,350001,400000,70.5300,3.1000,26.3600
1,400001,450000,82.4200,1.3000,16.2700
1,450001,500000,90.9600,1.6900,7.3300
1,500001,550000,84.2500,.8700,14.8700
1,550001,600000,77.1000,.1700,22.7200
1,600001,650000,86.8400,4.4000,8.7500
1,650001,700000,89.6100,1.5700,8.8100
1,700001,750000,87.7900,.7700,11.4200
1,750001,800000,86.9500,13.0400,0
1,800001,850000,90.6900,4.9500,4.3400
1,850001,900000,90.3200,9.6700,0
1,900001,950000,95.8200,2.2000,1.9700
1,950001,1000000,99.2600,.7300,0
1,1000001,1050000,100.0000,0,0
1,1050001,1100000,71.0800,2.0700,26.8300
1,1100001,1150000,90.9500,.3500,8.6900
1,1150001,1200000,90.0200,2.1700,7.7900
1,1200001,1250000,94.1000,5.8300,.0500
1,1250001,1300000,86.1600,10.8600,2.9600
1,1300001,1350000,98.0000,.3000,1.6800
1,1350001,1400000,85.5500,10.8600,3.5700
1,1400001,1450000,95.6500,4.3400,0
1,1450001,1500000,81.7900,0,18.2000
1,1500001,1550000,87.9600,12.0300,0
1,1550001,1600000,98.3800,1.6100,0
1,1600001,1650000,90.6100,9.3800,0
1,1650001,1700000,96.8300,2.8600,.2900
1,1700001,1750000,95.7200,4.2700,0
1,1750001,1800000,96.3400,3.6500,0
1,1800001,1850000,93.4800,4.3300,2.1700
1,1850001,1900000,96.0700,3.9200,0
1,1900001,1950000,95.6500,4.3400,0
1,1950001,2000000,100.0000,0,0
1,2000001,2050000,95.6500,4.3400,0
1,2050001,2100000,95.6500,4.3400,0
1,2100001,2150000,96.8400,1.1700,1.9800
1,2150001,2200000,92.0200,6.0000,1.9700
1,2200001,2250000,76.7600,8.4900,14.7300
1,2250001,2300000,74.5100,7.8600,17.6200
1,2300001,2350000,88.1000,0,11.8900
1,2350001,2400000,81.7600,6.8800,11.3400
1,2400001,2450000,88.3600,4.9400,6.6900
1,2450001,2500000,94.4600,4.3400,1.1800
1,2500001,2550000,72.8100,5.8300,21.3500
1,2550001,2600000,81.0900,18.3300,.5700
1,2600001,2650000,94.7400,2.7300,2.5200
1,2650001,2700000,95.6500,0,4.3400
1,2700001,2750000,97.4700,1.7200,.8000
1,2750001,2800000,88.4000,11.5900,0
1,2800001,2850000,100.0000,0,0
1,2850001,2900000,100.0000,0,0
1,2900001,2950000,95.6500,4.3400,0
1,2950001,3000000,88.2000,11.7900,0
1,3000001,3050000,65.9100,34.0800,0
1,3050001,3100000,96.7600,3.2300,0
1,3100001,3150000,95.9200,4.0700,0
1,3150001,3200000,89.8100,10.1800,0
1,3200001,3250000,63.0000,35.9100,1.0800
1,3250001,3300000,45.9500,53.4000,.6300
1,3300001,3350000,51.9900,21.6200,26.3700
1,3350001,3400000,54.9200,33.4600,11.6100
1,3400001,3450000,64.3300,28.0800,7.5800
1,3450001,3500000,74.7900,24.9400,.2600
1,3500001,3550000,65.2600,34.7300,0
1,3550001,3600000,47.2200,52.0700,.6900
1,3600001,3650000,50.4700,49.5200,0
1,3650001,3700000,47.1500,50.1000,2.7300
1,3700001,3750000,50.3200,42.5800,7.0900
1,3750001,3800000,63.5400,36.1800,.2600
1,3800001,3850000,50.7900,48.7700,.4200
1,3850001,3900000,99.2300,0,.7600
1,3900001,3950000,99.7500,.0400,.1900
1,3950001,4000000,97.8200,2.1700,0
1,4000001,4050000,83.0700,.1200,16.8000
1,4050001,4100000,98.3400,0,1.6500
1,4100001,4150000,92.1500,7.1300,.7000
1,4150001,4200000,96.2700,3.4600,.2500
1,4200001,4250000,98.6400,0,1.3500
